FID,OBJECTID,STATEFP10,COUNTYFP10,TRACTCE10,BLKGRPCE10,GEOID10,NAMELSAD10,MTFCC10,FUNCSTAT10,ALAND10,AWATER10,INTPTLAT10,INTPTLON10,JoinFieldP,Id,Id2,Geography,Shape_Leng,Shape_Area,Shape_Le_1,Shape_Ar_1,Shape_Le_2,Shape_Ar_2,Median_Inc,Population,Total_HHs,Total_Fami,Fam_Avg_Si,Fam_Marrie,Fam_Single,Fam_Sing_1,Total_NonF,NonFam_Avg,Fam_Sing_2,Fam_Sing_3,POV_Famili,POV_HH,POV_Marrie,POV_Single,POV_Sing_1,POV_Sing_2,POV_Sing_3,Pov_Sing_4,POV_Fami_1,POV_Fami_2,POV_HH_Abo,Emp_Popula,Emp_Labor_,Emp_Not_La,Emp_Employ,Emp_Unempl,Emp_Unem_1,Ed_Populat,Ed_Pop_Mal,Ed_Male_Co,Ed_Pop_Fem,Ed_Female_,Ed_Total_C,Ed_Total_1,Ed_At_Leas,Ed_HS_or_H,Exp_Single,Exp_Sing_1,Exp_Sing_2,Exp_Sing_3,Shape__Area,Shape__Length,education_total_pct
1,1,48,479,001501,2,484790015012,Block Group 2,G5030,S,446965,0,+27.5337798,-099.4969149,LDO484790015012,1500000US484790015012,484790015012,"Block Group 2, Census Tract 15.01, Webb County, Texas",8804.59860745,4810465.33071,8804.59836274,4810465.31091,8804.59860745,4810465.33071,16325,1843,485,371,3.87,202,39,130,114,1.53,64,50,197,269,69,39,89,44,28,60,154,174,216,1219,534,685,508,26,4.86891385768,930,445,Est_M_5th_and_6th,485,Est_F_HS_GED,Total_HS_GED,219,YES,359,51.40379,34.70389,86.10768,13.89232,570631.23046875,3032.953669259993,38.6
2,2,48,479,001709,3,484790017093,Block Group 3,G5030,S,1249745,0,+27.5639130,-099.4965085,LDO484790017093,1500000US484790017093,484790017093,"Block Group 3, Census Tract 17.09, Webb County, Texas",18286.8334716,13450549.5546,18286.8324243,13450549.2475,18286.8334716,13450549.5546,36042,1304,441,387,2.93,213,66,108,54,1.35,18,36,82,99,0,0,82,0,17,82,82,305,342,962,638,324,621,17,2.66457680251,961,467,Est_M_HS_GED,494,Est_F_HS_GED,Total_HS_GED,290,YES,729,50.41847,38.51974,88.93821,11.06179,1596393.03125,6298.455310670311,75.86
3,3,48,479,001502,2,484790015022,Block Group 2,G5030,S,646526,0,+27.5339025,-099.4845926,LDO484790015022,1500000US484790015022,484790015022,"Block Group 2, Census Tract 15.02, Webb County, Texas",11210.8504857,6958228.44849,11210.8507409,6958228.21268,11210.8504857,6958228.44849,21824,2819,920,697,3.45,436,115,146,223,1.09,107,116,291,404,79,83,129,67,46,75,205,406,516,2191,955,1236,921,34,3.56020942408,1768,928,Est_M_HS_GED,840,Est_F_HS_GED,Total_HS_GED,513,YES,1002,43.43928,33.15308,76.59236,23.40764,825406.82421875,3860.534645579657,56.67
4,4,48,479,001601,1,484790016011,Block Group 1,G5030,S,1219240,0,+27.5357540,-099.4759516,LDO484790016011,1500000US484790016011,484790016011,"Block Group 1, Census Tract 16.01, Webb County, Texas",18252.6091661,13122087.302,18252.6091571,13122087.0141,18252.6091661,13122087.302,38182,972,262,224,3.63,138,7,79,38,1.0,22,16,55,55,25,0,30,0,0,23,23,169,207,697,384,313,372,12,3.125,395,251,Est_M_HS_GED,144,Est_F_College_1_or_more_No_Degree,Total_HS_GED,119,YES,292,54.64346,36.51344,91.1569,8.8431,1556634.14453125,6282.258175822439,73.92
5,5,48,479,001601,2,484790016012,Block Group 2,G5030,S,671022,0,+27.5426340,-099.4761320,LDO484790016012,1500000US484790016012,484790016012,"Block Group 2, Census Tract 16.01, Webb County, Texas",12012.8648835,7221926.78909,12012.8651707,7221926.6963,12012.8648835,7221926.78909,27258,983,346,290,2.99,162,24,104,56,1.0,26,30,108,108,34,0,74,0,0,74,74,182,238,696,379,317,374,5,1.31926121372,691,245,Est_M_5th_and_6th,446,Est_F_Associates_degree,Total_5th_and_6th,158,NO,365,42.2421,34.01747,76.25957,23.74043,856819.796875,4132.897663277313,52.82
6,6,48,479,001814,2,484790018142,Block Group 2,G5030,S,10926787,19545,+27.4894888,-099.3729265,LDO484790018142,1500000US484790018142,484790018142,"Block Group 2, Census Tract 18.14, Webb County, Texas",62509.7944198,117808680.865,92484.0623895,39179995.2222,62509.7944198,117808680.865,28000,1877,396,354,4.48,257,46,51,42,1.26,22,20,156,165,83,33,40,0,9,22,138,198,231,1038,553,485,487,66,11.9349005425,648,304,Est_M_5th_and_6th,344,Est_F_HS_GED,Total_5th_and_6th,206,NO,173,48.97455,50.18757,99.16212,0.83788,13964370.7109375,21482.60735294485,26.7
7,7,48,479,001202,2,484790012022,Block Group 2,G5030,S,320658,0,+27.5201280,-099.5002749,LDO484790012022,1500000US484790012022,484790012022,"Block Group 2, Census Tract 12.02, Webb County, Texas",7484.34146316,3451062.39786,7484.34156639,3451062.49739,7484.34146316,3451062.39786,11071,1898,508,409,3.91,199,16,194,99,1.06,33,66,297,371,105,11,181,33,41,149,234,112,137,1117,398,719,366,32,8.04020100503,854,310,Est_M_College_1_or_more_No_Degree,544,Est_F_9th,Total_9th,153,NO,336,43.20335,30.59074,73.79409,26.20591,409276.12890625,2578.743264572399,39.34
8,8,48,479,001401,2,484790014012,Block Group 2,G5030,S,438844,0,+27.5352564,-099.5121468,LDO484790014012,1500000US484790014012,484790014012,"Block Group 2, Census Tract 14.01, Webb County, Texas",10047.725936,4723042.47546,10047.7261795,4723042.19477,10047.725936,4723042.47546,23718,1814,418,341,4.49,231,28,82,77,1.1,56,21,139,190,106,20,13,30,21,13,100,202,228,1241,618,623,537,81,13.1067961165,920,486,Est_M_HS_GED,434,Est_F_HS_GED,Total_HS_GED,357,YES,485,50.02197,40.25658,90.27855,9.72145,560275.41015625,3464.7021168656634,52.72
9,9,48,479,001401,1,484790014011,Block Group 1,G5030,S,862260,0,+27.5398089,-099.5064695,LDO484790014011,1500000US484790014011,484790014011,"Block Group 1, Census Tract 14.01, Webb County, Texas",12568.8990796,9280130.22677,12568.8993098,9280130.12833,12568.8990796,9280130.22677,19688,1276,408,304,3.45,154,49,101,104,1.0,37,67,137,198,90,0,47,29,32,47,110,167,210,1030,363,667,284,79,21.7630853994,1028,460,Est_M_HS_GED,568,Est_F_HS_GED,Total_HS_GED,305,YES,498,42.38715,36.11747,78.50462,21.49538,1100952.97265625,4330.938486498932,48.44
10,10,48,479,001706,3,484790017063,Block Group 3,G5030,S,467695,0,+27.5439319,-099.4998882,LDO484790017063,1500000US484790017063,484790017063,"Block Group 3, Census Tract 17.06, Webb County, Texas",12386.8165217,5033601.76028,12386.8156701,5033601.30895,12386.8165217,5033601.76028,20450,1068,287,236,3.75,135,12,89,51,1.25,13,38,114,152,64,12,38,0,38,38,100,122,135,732,410,322,373,37,9.0243902439,844,384,Est_M_HS_GED,460,Est_F_HS_GED,Total_HS_GED,170,YES,435,48.19161,32.43713,80.62874,19.37126,597207.4140625,4265.894121399871,51.54
